PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,JAN_PH_SUELO,FEB_PH_SUELO,MAR_PH_SUELO,APR_PH_SUELO,MAY_PH_SUELO,JUN_PH_SUELO,JUL_PH_SUELO,AUG_PH_SUELO,SEP_PH_SUELO,OCT_PH_SUELO,NOV_PH_SUELO,DEC_PH_SUELO
QV2M,2010,13.86,14.49,14.13,14.81,16.22,15.26,15.34,15.53,15.31,15.02,14.4,13.31,14.81,4.97,5.59,4.36,8.07,5.25,6.92,5.99,3.73,7.68,7.95,3.4,5.34
QV2M,2011,13.53,13.72,12.88,13.14,14.33,15.25,15.22,15.02,15.24,15.17,14.53,14.3,14.36,5.57,8.98,3.93,7.77,8.81,3.14,6.83,5.27,4.98,4.63,3.92,7.4
QV2M,2012,13.34,12.95,13.25,13.87,15.32,15.61,15.42,15.02,14.79,14.91,14.97,14.58,14.51,7.01,3.02,7.63,4.01,3.17,5.67,6.08,4.95,4.92,8.42,8.83,4.39
QV2M,2013,13.77,13.18,13.67,14.3,14.79,15.89,15.3,14.98,15.51,15.21,14.76,14.21,14.64,8.2,6.45,8.09,4.11,5.12,4.16,4.61,4.15,4.96,4.04,7.78,4.01
QV2M,2014,13.63,13.12,12.92,14.43,15.04,15.91,15.81,15.07,15.18,15.42,15.17,14.73,14.71,4.0,4.57,7.51,4.05,4.42,6.26,8.77,7.51,8.64,8.82,4.41,5.35
QV2M,2015,14.02,13.69,13.46,14.45,15.27,16.33,15.57,15.54,15.82,15.96,15.69,15.54,15.12,5.55,8.68,3.01,5.25,7.33,6.57,3.29,3.75,8.72,3.84,5.93,7.19
QV2M,2016,14.11,14.0,13.91,14.38,15.59,15.87,15.06,15.75,15.31,15.86,15.49,14.85,15.02,6.89,5.62,6.23,4.84,3.07,7.41,6.98,3.8,7.46,5.96,4.58,5.86
QV2M,2017,13.81,13.64,13.39,15.04,16.5,16.16,15.89,15.6,16.1,15.54,15.28,14.51,15.13,7.27,4.49,6.92,7.58,5.72,3.7,7.51,7.49,5.52,3.15,5.38,8.08
QV2M,2018,14.27,13.38,13.56,14.51,15.25,15.86,15.58,15.27,15.48,15.25,15.25,14.1,14.82,6.82,8.64,8.3,5.44,4.7,6.51,4.01,3.74,7.95,5.11,4.68,3.31
QV2M,2019,13.36,12.78,13.44,14.2,16.2,16.37,15.51,15.67,15.68,15.71,15.12,15.19,14.95,4.3,8.48,8.8,4.42,6.67,4.89,5.58,5.0,8.2,5.37,3.42,7.87
QV2M,2020,14.71,14.33,13.41,14.12,15.82,15.77,15.08,15.43,15.15,15.69,15.47,14.47,14.96,3.53,8.15,6.27,3.2,7.49,7.02,3.84,5.28,8.92,8.03,5.33,8.05
QV2M,2021,14.0,13.98,13.48,15.01,15.59,15.57,15.67,15.24,15.33,15.47,14.52,14.77,14.89,3.98,4.12,5.95,8.1,8.5,4.8,7.52,4.87,3.52,6.99,6.92,4.14
QV2M,2022,13.34,12.74,13.69,14.79,15.78,15.41,15.61,15.07,15.51,15.36,15.27,14.24,14.74,3.47,3.12,4.79,3.24,4.15,8.65,5.01,7.62,7.62,7.56,7.76,3.75
QV2M,2023,13.94,13.63,13.92,14.06,15.52,16.31,16.14,16.12,15.74,16.61,16.41,15.55,15.34,5.47,5.97,3.38,7.02,8.02,8.79,5.02,8.71,3.04,5.37,4.66,4.01
QV2M,2024,15.02,14.21,14.53,14.71,16.36,16.99,16.54,15.92,16.32,16.31,15.99,15.32,15.69,6.41,5.25,7.91,3.61,7.94,5.52,7.26,6.92,5.75,8.8,4.69,5.49
QV2M,2025,14.75,14.34,14.19,14.85,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.5,6.41,4.53,3.08,3.94,7.5,6.94,5.63,6.19,6.81,6.46,5.1
RH2M,1981,88.79,89.09,85.61,87.67,88.01,92.33,90.36,90.62,90.73,91.51,92.54,91.0,89.85,5.17,7.68,3.67,6.59,7.96,8.09,4.17,7.89,5.51,4.93,6.28,8.07
RH2M,1982,89.43,86.99,82.57,82.51,85.71,89.27,91.26,90.88,91.05,92.28,90.15,90.46,88.56,3.6,7.13,7.13,5.37,3.27,7.37,3.35,3.8,6.04,4.9,8.86,7.61
RH2M,1983,88.61,83.62,79.12,76.23,84.75,86.92,89.27,89.29,88.14,91.47,92.17,91.35,86.78,7.33,5.14,6.75,8.08,5.97,8.41,4.09,4.8,8.32,6.06,5.48,7.6
RH2M,1984,87.41,85.46,79.35,76.8,82.92,89.41,90.08,90.38,91.43,92.04,90.17,89.25,87.07,8.69,4.05,4.77,8.68,7.82,3.51,4.12,6.02,3.66,3.01,8.07,4.79
RH2M,1985,86.96,82.98,78.17,76.09,79.52,88.62,89.75,89.88,88.23,87.68,88.18,88.1,85.37,7.18,4.87,4.01,5.85,6.18,3.16,3.81,5.04,6.8,8.7,3.41,7.99
RH2M,1986,86.18,80.24,78.66,78.53,82.71,88.53,90.71,89.85,90.76,91.28,91.29,90.04,86.61,7.73,6.65,3.78,4.24,8.91,4.92,6.51,4.14,4.33,3.77,5.77,7.91
RH2M,1987,88.54,86.85,79.61,85.93,86.4,86.2,89.92,90.2,88.33,91.36,89.44,87.88,87.56,6.9,8.22,8.29,7.15,3.51,5.39,4.83,4.88,8.43,3.7,3.59,8.06
RH2M,1988,84.68,83.86,79.33,76.99,81.95,85.12,87.74,90.26,91.65,89.57,89.58,87.92,85.73,8.56,3.04,6.56,3.6,4.89,4.76,8.66,6.58,8.58,6.27,3.41,4.01
RH2M,1989,83.94,80.83,75.96,76.22,81.08,87.02,88.58,86.55,89.96,89.37,90.96,88.1,84.9,6.51,6.83,5.59,3.03,6.75,3.78,3.34,4.03,7.3,4.51,4.28,6.86
RH2M,1990,86.3,81.13,79.43,76.69,84.17,88.01,88.35,89.01,88.74,91.22,92.04,89.42,86.25,6.59,3.7,7.34,6.2,4.11,4.1,7.17,3.32,4.61,5.89,7.16,5.26
RH2M,1991,87.09,83.82,77.38,76.22,88.18,88.58,89.39,88.0,88.19,89.01,89.55,88.0,86.14,8.47,7.34,3.8,5.6,4.96,8.33,4.95,7.71,5.29,5.25,7.35,8.1
RH2M,1992,83.61,80.26,75.76,76.98,82.94,85.38,90.91,90.21,89.78,91.09,88.81,85.87,85.16,7.17,8.27,6.58,4.7,3.17,6.32,8.34,7.65,7.32,3.61,3.95,5.58
RH2M,1993,82.13,76.91,77.57,76.62,87.83,91.36,89.99,90.82,91.33,91.12,88.47,85.61,85.87,7.6,5.31,8.46,6.56,4.6,7.76,8.85,3.26,6.31,8.46,6.66,8.18
RH2M,1994,80.26,78.9,73.32,76.41,81.22,84.71,88.31,87.58,87.69,89.2,90.63,85.28,83.65,3.53,7.47,4.95,7.11,4.86,8.43,4.94,3.43,6.54,7.82,3.82,5.35
RH2M,1995,80.72,78.11,76.16,79.88,85.78,90.85,89.11,92.17,92.56,93.05,90.12,87.44,86.37,7.66,4.28,7.55,7.22,7.69,8.15,3.54,3.51,3.26,8.9,7.04,8.26
RH2M,1996,85.92,83.18,76.59,76.16,84.64,89.15,88.12,85.65,87.45,89.24,88.92,86.57,85.14,7.43,7.33,5.14,6.04,8.94,6.4,6.32,6.56,3.72,7.39,7.31,6.68
RH2M,1997,83.46,83.97,76.72,75.38,86.87,91.84,91.22,90.61,91.32,93.26,93.42,89.12,87.28,8.25,6.35,8.25,8.22,3.18,6.89,4.12,4.92,8.59,7.67,4.17,6.22
RH2M,1998,85.96,80.73,75.73,76.46,82.45,90.92,92.14,92.95,91.57,94.48,92.67,93.44,87.51,6.24,7.05,3.15,5.36,3.31,4.36,3.3,6.41,3.78,5.69,4.39,6.0
RH2M,1999,89.79,88.82,85.19,84.72,89.5,92.3,92.07,92.19,93.52,93.86,91.78,92.98,90.57,8.25,4.9,8.75,7.13,5.52,6.07,5.4,6.35,4.01,3.14,7.2,4.1
RH2M,2000,90.39,89.06,84.8,84.77,87.78,91.93,91.56,92.24,92.26,91.75,90.86,90.55,89.83,6.53,6.2,3.87,3.72,7.07,6.52,5.68,8.61,5.84,7.46,5.67,4.16
RH2M,2001,88.02,85.69,80.74,83.34,84.17,90.79,90.21,92.12,91.4,92.63,92.67,90.76,88.56,7.16,5.43,3.18,6.31,8.49,8.39,5.64,7.06,3.37,7.18,4.19,5.4
RH2M,2002,89.16,85.92,83.25,81.56,90.59,91.63,93.83,92.77,91.74,93.42,92.22,90.57,89.76,4.2,3.17,3.18,7.47,7.74,3.53,8.7,7.45,5.33,8.82,6.16,4.86
RH2M,2003,89.48,87.26,81.22,80.76,90.46,92.13,91.47,91.02,89.79,92.03,93.48,92.23,89.3,3.33,7.74,6.99,8.36,5.07,3.77,4.55,7.43,4.17,4.07,3.31,6.35
RH2M,2004,88.03,85.99,85.7,81.37,89.81,90.95,90.82,90.78,89.9,90.89,92.47,91.37,89.03,4.45,7.07,5.11,5.31,7.11,8.5,3.44,4.42,8.26,8.57,6.89,5.6
RH2M,2005,91.77,88.51,85.4,85.99,89.55,93.36,91.62,92.32,93.82,94.36,92.86,89.21,90.74,6.44,8.09,4.23,3.48,5.45,3.82,8.17,5.48,6.19,7.87,7.39,8.89
RH2M,2006,91.18,87.91,86.93,83.7,88.69,91.76,93.01,91.07,89.84,90.78,92.86,91.77,89.98,8.33,3.27,8.16,7.51,7.6,5.52,4.09,5.6,7.44,7.66,7.25,6.78
RH2M,2007,89.84,83.94,82.31,83.51,90.24,91.15,91.38,91.31,91.33,93.23,94.14,91.4,89.52,5.55,8.58,5.99,7.27,7.11,3.98,3.29,5.3,4.04,4.9,7.23,5.91
RH2M,2008,89.54,87.96,83.96,84.5,87.18,92.23,92.58,91.62,90.43,93.62,92.71,90.29,89.73,6.57,6.98,6.71,4.17,8.3,8.24,7.05,8.18,7.49,6.49,3.56,4.65
RH2M,2009,89.06,87.89,86.62,81.9,85.64,91.34,91.29,90.92,88.78,92.85,91.88,89.56,88.99,3.7,6.65,5.91,5.24,7.79,4.06,7.19,6.3,5.73,3.3,8.22,5.56
RH2M,2010,88.51,87.4,83.92,82.68,90.07,89.9,90.1,91.94,91.87,91.56,92.29,90.79,89.27,5.3,4.8,5.26,4.97,8.52,8.62,7.44,6.85,5.44,3.51,3.35,8.38
RH2M,2011,89.29,88.61,83.23,79.61,80.84,88.15,90.92,88.92,90.33,93.43,91.93,92.65,88.16,3.57,3.73,7.03,4.4,5.25,6.0,4.82,8.4,7.88,5.41,7.96,5.27
RH2M,2012,89.48,86.77,84.72,83.37,86.78,89.09,91.86,89.87,89.93,90.96,92.55,91.08,88.88,5.5,5.82,5.53,8.18,4.54,4.22,5.55,7.16,7.92,4.46,6.31,6.45
RH2M,2013,88.19,85.65,84.4,84.37,87.17,92.33,92.14,90.42,90.77,92.04,90.96,90.61,89.11,3.88,4.94,5.88,7.99,6.08,5.17,4.0,4.75,4.89,8.76,5.59,6.84
RH2M,2014,89.43,86.58,80.87,85.09,86.87,91.54,93.13,91.03,91.19,92.34,93.04,92.94,89.52,4.62,7.04,6.2,6.29,3.75,5.43,5.56,8.37,5.86,4.12,6.45,5.69
RH2M,2015,90.67,89.37,86.31,85.46,89.03,92.44,92.27,90.63,92.01,91.34,92.71,91.26,90.3,4.42,7.04,7.6,3.92,8.13,7.14,4.83,4.0,7.08,5.39,3.86,7.01
RH2M,2016,88.75,88.27,81.08,80.55,85.09,91.43,90.84,90.94,90.57,93.16,93.65,93.04,88.95,7.27,3.94,6.34,7.85,3.37,3.17,3.76,8.06,4.11,7.94,4.8,4.01
RH2M,2017,89.49,87.23,84.18,85.89,92.91,92.31,92.54,90.62,92.67,91.43,92.08,91.82,90.28,6.65,5.2,7.75,6.88,3.56,8.73,7.63,5.99,3.27,4.17,4.87,6.75
RH2M,2018,93.54,89.28,87.15,87.2,88.69,92.7,93.03,91.73,90.55,91.98,91.26,89.8,90.59,8.88,7.44,4.79,6.79,5.61,4.95,3.12,7.92,3.48,8.77,3.75,4.94
RH2M,2019,87.04,80.66,83.69,82.1,91.47,91.58,91.08,91.24,91.37,93.36,91.56,91.88,88.98,3.51,7.34,4.06,5.29,4.65,8.42,3.37,5.73,4.08,8.41,6.63,6.56
RH2M,2020,90.99,89.05,83.52,83.35,88.7,91.46,90.94,90.98,89.58,92.39,92.52,91.87,89.62,4.67,7.56,4.31,5.63,4.45,7.99,8.98,8.68,3.54,3.27,8.11,3.56
RH2M,2021,90.49,87.9,85.54,88.86,91.07,90.93,91.44,91.23,90.36,90.83,90.33,91.61,90.07,3.05,7.64,4.14,6.81,8.04,7.65,4.39,7.22,3.48,3.32,4.66,3.69
RH2M,2022,87.92,84.07,84.93,87.36,90.6,92.94,92.15,89.93,91.01,91.46,92.97,90.88,89.72,4.03,7.24,7.73,8.07,5.24,7.12,4.02,4.7,8.22,8.55,3.28,4.47
RH2M,2023,90.2,88.15,87.55,83.38,85.51,90.52,91.8,90.84,88.68,92.57,93.77,91.62,89.57,3.97,3.93,8.54,6.57,8.14,7.53,4.5,4.13,6.12,5.15,5.14,6.85
RH2M,2024,89.62,87.47,81.79,83.24,87.56,92.91,93.1,90.32,91.03,93.06,94.04,93.15,89.78,8.16,5.18,8.7,5.7,3.97,3.99,5.3,8.24,6.99,8.17,6.87,5.95
RH2M,2025,91.29,88.61,84.79,87.64,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.37,7.89,5.36,6.0,4.03,4.17,5.06,3.35,8.02,7.23,8.98,3.9
T2M,1981,18.52,19.25,20.05,20.51,20.99,20.26,19.62,19.75,19.79,19.57,19.57,19.4,19.77,8.09,6.37,5.93,3.22,5.75,3.6,8.62,8.58,6.19,7.67,3.06,5.94
T2M,1982,18.61,19.02,19.36,20.13,20.81,20.61,19.66,19.81,19.89,19.29,19.64,19.45,19.69,5.18,6.85,6.09,7.14,6.31,7.94,7.08,6.49,6.56,3.42,3.32,5.88
T2M,1983,19.84,20.24,21.37,21.72,21.64,21.04,20.46,19.96,19.76,19.34,19.89,19.27,20.38,7.34,6.0,5.89,4.14,3.92,8.22,7.35,4.65,3.42,4.92,6.89,6.91
T2M,1984,18.75,19.53,20.35,20.86,21.03,19.78,19.43,19.78,19.61,19.67,18.91,19.01,19.73,7.24,5.59,3.75,7.02,4.55,3.55,7.71,4.14,5.38,3.41,8.54,5.36
T2M,1985,18.1,18.98,19.8,20.66,21.08,19.88,19.15,19.22,19.53,19.59,19.65,19.18,19.57,6.46,3.07,8.86,8.38,8.2,6.1,6.42,4.06,6.2,4.08,3.63,6.05
T2M,1986,18.62,19.1,19.65,21.16,21.32,20.16,19.35,19.42,19.72,19.42,19.51,19.23,19.72,3.65,7.42,7.64,8.68,3.41,3.29,6.67,4.94,6.59,6.02,5.74,6.65
T2M,1987,18.74,19.71,21.02,20.62,20.9,20.54,20.16,19.67,20.22,20.22,20.13,20.08,20.17,6.93,6.95,4.97,8.4,8.36,7.09,3.88,5.57,6.16,3.61,6.94,3.61
T2M,1988,19.61,19.87,20.28,21.21,21.61,20.47,19.9,19.96,19.84,19.7,19.7,19.32,20.12,3.72,3.08,7.27,6.69,3.14,6.32,3.13,3.34,6.62,7.96,8.17,4.43
T2M,1989,19.39,18.78,19.5,21.06,21.32,20.42,19.83,20.08,19.97,19.87,20.12,19.03,19.95,6.19,3.98,5.48,6.41,4.01,3.53,6.64,4.76,8.8,3.19,7.87,3.54
T2M,1990,19.55,19.24,20.08,21.12,21.31,20.65,19.91,20.19,19.93,20.01,20.01,19.36,20.12,3.67,8.84,8.3,4.79,6.73,6.46,7.49,3.97,8.95,3.12,7.27,4.26
T2M,1991,18.93,19.06,20.51,21.4,21.02,20.63,20.1,19.94,20.06,19.79,19.52,19.13,20.01,5.44,4.89,6.22,5.86,8.01,3.38,3.33,5.6,8.09,4.94,6.56,6.62
T2M,1992,19.24,19.85,20.52,21.61,21.39,21.55,19.84,19.93,20.06,19.79,19.87,19.66,20.27,4.11,3.81,5.38,5.83,6.49,4.41,6.76,7.53,7.19,4.87,6.99,7.57
T2M,1993,19.8,19.82,20.43,21.81,21.29,20.81,20.15,20.21,19.81,20.09,19.85,19.67,20.31,8.56,3.15,7.54,3.83,5.71,5.35,4.9,5.31,4.75,4.28,8.88,8.01
T2M,1994,19.28,19.74,20.48,21.12,21.73,21.05,20.44,20.39,20.64,20.18,19.99,19.63,20.39,3.68,6.12,3.21,8.88,6.19,8.23,5.44,8.32,8.28,7.5,6.59,7.92
T2M,1995,19.62,19.94,20.91,21.86,21.16,20.9,20.27,20.52,20.2,20.35,20.04,19.37,20.43,4.33,8.96,3.25,5.32,5.18,6.2,3.72,7.33,8.43,6.29,6.17,5.16
T2M,1996,18.95,19.42,20.51,21.22,21.39,20.83,20.42,20.14,20.66,20.53,20.13,19.43,20.3,8.92,4.62,5.03,5.64,6.12,8.78,8.98,8.76,3.86,8.38,6.14,7.2
T2M,1997,18.76,19.88,19.96,21.29,20.75,20.58,20.81,20.56,20.61,20.61,20.3,19.41,20.29,4.0,8.08,3.1,5.64,5.24,7.98,7.42,7.8,7.34,7.07,5.76,6.77
T2M,1998,19.47,21.35,21.76,22.2,22.12,21.12,20.46,20.37,20.81,20.63,19.94,19.54,20.81,7.05,3.03,6.53,8.3,4.26,5.19,5.5,7.2,6.73,4.22,4.2,7.32
T2M,1999,18.8,18.62,19.1,20.06,20.4,19.92,19.77,19.82,19.89,19.73,19.48,18.79,19.54,6.06,6.55,5.53,6.11,4.58,7.39,7.61,8.85,3.3,3.32,7.99,6.54
T2M,2000,18.17,18.26,19.12,19.96,20.83,20.15,19.72,19.85,20.05,19.72,19.72,19.06,19.55,4.67,7.84,5.61,5.53,6.87,4.59,5.63,3.34,7.86,5.52,8.67,8.01
T2M,2001,18.5,18.63,19.73,20.31,21.2,20.58,20.03,20.68,20.07,20.49,19.79,19.96,20.01,8.06,6.29,6.35,4.24,5.59,6.3,8.35,7.43,3.48,5.49,3.89,3.46
T2M,2002,19.18,19.11,19.73,20.16,20.97,20.97,20.31,20.14,20.52,20.16,19.9,19.24,20.04,3.38,7.45,6.64,4.3,6.03,4.71,8.63,7.88,3.54,5.33,6.44,5.35
T2M,2003,19.06,19.33,20.44,21.07,21.11,20.59,20.32,20.38,20.59,20.65,20.03,19.45,20.26,4.27,6.71,7.46,6.98,7.12,3.34,3.46,7.15,4.4,7.57,6.47,6.36
T2M,2004,19.14,19.49,19.86,21.32,21.02,20.65,20.06,20.62,20.58,20.46,19.77,19.32,20.19,8.0,6.06,8.75,3.95,6.55,3.22,6.33,7.83,5.1,5.58,8.53,3.27
T2M,2005,18.81,18.42,20.48,20.78,21.33,21.24,20.87,20.41,20.29,20.36,19.69,18.94,20.15,8.69,5.25,5.01,7.25,8.29,7.11,5.98,8.19,6.2,6.95,6.12,4.57
T2M,2006,19.09,18.68,19.31,20.35,20.84,20.65,20.53,20.51,20.43,20.69,19.68,19.8,20.06,7.23,7.64,6.9,6.55,3.38,6.67,4.01,7.86,4.76,3.98,8.93,7.15
T2M,2007,19.28,19.26,20.09,21.05,21.02,20.78,20.09,20.35,20.38,20.16,19.83,19.14,20.12,3.35,5.96,4.38,3.31,6.89,6.39,4.12,8.78,5.54,8.78,6.38,4.99
T2M,2008,18.46,18.6,19.25,20.21,20.69,20.51,19.92,20.29,20.56,20.19,19.88,19.32,19.82,7.76,7.53,3.09,7.67,5.69,4.68,5.58,5.74,4.88,8.57,6.82,4.85
T2M,2009,19.01,18.83,18.92,20.45,21.31,20.9,20.7,20.52,20.9,20.57,20.19,19.97,20.2,4.36,7.11,3.5,8.26,4.76,3.61,3.17,8.49,4.17,5.29,4.84,3.11
T2M,2010,19.43,20.36,20.73,21.83,21.66,20.69,20.73,20.58,20.36,20.1,19.28,18.32,20.34,3.14,3.54,8.48,4.88,5.22,6.08,3.36,5.03,6.8,7.25,6.97,6.73
T2M,2011,18.88,19.27,19.42,20.62,21.73,21.06,20.43,20.64,20.58,19.9,19.51,19.13,20.1,3.02,6.58,4.21,4.03,5.59,3.33,8.69,5.19,7.97,4.91,7.72,8.71
T2M,2012,18.66,18.74,19.56,20.64,21.44,21.24,20.47,20.44,20.19,20.1,19.88,19.73,20.09,5.57,5.81,3.91,6.61,7.51,3.61,6.14,5.44,8.07,3.97,4.15,7.95
T2M,2013,19.41,19.27,20.17,20.9,20.8,20.85,20.3,20.29,20.78,20.18,19.94,19.41,20.19,8.21,5.84,7.31,6.36,5.69,8.61,7.52,8.29,8.68,7.71,5.52,6.48
T2M,2014,19.0,19.01,20.09,20.87,21.16,21.04,20.65,20.28,20.35,20.38,19.98,19.53,20.2,4.13,4.22,4.37,6.6,4.92,8.13,4.9,5.96,6.76,7.38,4.83,8.36
T2M,2015,19.2,19.11,19.49,20.8,20.93,21.3,20.57,20.86,20.85,21.14,20.57,20.72,20.47,5.04,4.88,3.85,6.79,8.44,5.93,3.75,7.75,3.12,4.38,7.28,6.18
T2M,2016,19.67,19.68,21.29,21.93,22.14,21.03,20.29,21.01,20.64,20.67,20.18,19.65,20.68,4.02,5.62,5.82,7.71,8.66,5.8,3.28,3.41,5.81,3.19,4.47,4.66
T2M,2017,19.19,19.47,19.94,21.35,21.38,21.14,20.84,20.91,21.01,20.67,20.27,19.5,20.48,6.64,8.08,6.23,7.58,4.74,6.99,7.85,3.92,4.6,5.62,3.5,6.02
T2M,2018,18.94,18.76,19.41,20.53,21.0,20.76,20.43,20.37,20.8,20.3,20.43,19.47,20.11,6.04,4.48,6.26,4.89,6.76,8.25,5.46,8.32,4.26,4.08,3.94,3.63
T2M,2019,19.2,19.99,20.14,21.37,21.38,21.52,20.73,20.87,20.84,20.47,20.22,20.23,20.58,5.57,8.39,3.62,4.86,8.44,6.33,4.44,3.83,4.35,5.18,8.34,6.45
T2M,2020,19.93,19.9,20.1,20.97,21.55,20.91,20.28,20.66,20.6,20.64,20.39,19.48,20.45,5.52,5.87,3.04,8.77,3.36,8.45,3.74,4.12,6.21,7.05,8.02,8.04
T2M,2021,19.21,19.7,19.69,20.68,20.85,20.84,20.84,20.42,20.69,20.73,19.84,19.86,20.28,6.39,4.56,6.3,4.72,4.36,5.58,8.42,6.55,4.59,4.08,7.2,4.66
T2M,2022,18.99,19.11,20.12,20.8,21.11,20.24,20.62,20.49,20.74,20.49,20.09,19.42,20.19,5.65,4.46,7.78,8.25,5.12,7.38,4.12,8.43,5.16,8.08,5.63,7.23
T2M,2023,19.22,19.29,19.78,20.89,21.93,21.64,21.23,21.4,21.45,21.52,21.08,20.66,20.85,7.27,8.33,8.66,7.76,3.07,3.1,3.93,3.83,6.12,4.23,3.23,8.09
T2M,2024,20.49,20.06,21.74,21.64,22.37,21.82,21.36,21.32,21.56,21.15,20.64,20.12,21.19,7.66,5.45,6.38,8.09,6.0,6.21,4.35,5.18,8.59,5.69,3.77,6.32
T2M,2025,19.89,19.99,20.68,20.78,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.58,6.82,5.41,8.2,8.24,8.73,3.03,4.89,7.79,6.71,7.6,8.12
T2M_MAX,1981,23.9,24.29,27.35,26.39,27.09,25.68,25.1,26.52,25.94,25.27,24.98,24.22,27.35,6.01,6.99,4.27,8.61,6.54,8.67,8.44,4.55,4.84,4.14,7.5,4.33
T2M_MAX,1982,24.54,24.57,26.71,27.46,27.8,26.94,24.56,25.21,25.27,24.2,24.83,25.02,27.8,4.77,3.77,5.88,7.12,7.69,8.11,4.95,3.51,6.55,3.74,7.19,8.06
T2M_MAX,1983,26.13,28.61,30.75,31.09,28.2,27.26,26.33,25.36,26.0,25.0,24.97,24.19,31.09,4.8,4.88,6.46,8.83,7.75,6.43,7.05,8.92,4.57,5.32,8.08,8.81
T2M_MAX,1984,23.68,26.75,29.1,29.38,28.3,25.76,24.92,24.96,25.23,25.1,23.97,23.51,29.38,4.86,7.43,8.42,5.9,7.52,4.95,3.37,3.82,6.06,5.18,3.81,5.01
T2M_MAX,1985,23.45,24.81,29.14,29.95,29.84,26.37,24.49,25.31,26.07,25.91,25.14,24.95,29.95,6.18,3.1,3.71,7.11,5.24,6.57,5.9,4.36,3.97,3.48,5.34,8.93
T2M_MAX,1986,23.79,26.47,28.38,29.79,30.47,27.03,24.77,25.3,25.91,25.11,24.74,24.34,30.47,3.78,6.13,8.59,6.28,3.89,4.02,7.08,4.89,6.62,3.2,6.59,8.32
T2M_MAX,1987,24.2,25.99,31.03,27.01,27.66,27.39,25.32,25.17,26.64,25.52,25.33,25.75,31.03,5.97,7.35,7.94,8.87,3.58,7.39,6.95,3.39,8.88,5.14,6.65,8.93
T2M_MAX,1988,25.36,28.06,28.2,29.86,29.42,28.24,27.0,25.48,25.62,25.19,25.53,24.07,29.86,8.39,8.31,7.29,8.15,8.91,7.87,7.46,8.38,5.54,8.4,4.91,8.74
T2M_MAX,1989,24.62,27.01,28.33,29.23,29.11,26.96,25.95,26.12,25.63,25.41,25.6,24.7,29.23,5.85,7.16,4.04,4.79,5.87,5.87,6.08,6.9,6.13,5.78,7.16,5.17
T2M_MAX,1990,24.95,26.75,28.77,29.64,28.45,27.56,26.24,25.57,26.07,26.13,24.75,25.2,29.64,3.46,7.78,5.67,3.06,4.59,5.94,3.17,3.58,8.18,3.02,7.33,6.65
T2M_MAX,1991,24.22,26.19,28.83,31.26,27.23,26.46,25.53,25.73,25.96,25.53,25.28,25.24,31.26,6.39,8.68,8.58,7.31,5.51,8.45,7.26,5.4,6.92,4.27,8.12,7.26
T2M_MAX,1992,24.89,29.24,29.95,31.69,28.72,29.1,25.51,25.33,25.82,25.76,25.47,25.26,31.69,8.05,7.74,6.3,7.89,6.54,5.27,7.26,5.61,8.81,3.45,6.31,5.28
T2M_MAX,1993,27.21,28.41,29.17,30.75,28.8,25.4,25.17,25.05,25.14,25.54,25.3,24.84,30.75,4.11,6.27,5.22,3.49,8.94,8.53,3.41,3.66,7.4,8.18,4.23,7.39
T2M_MAX,1994,26.14,27.89,28.92,29.67,30.09,28.2,25.62,26.19,26.77,26.48,26.31,25.16,30.09,4.94,6.14,7.71,8.87,5.64,7.7,7.36,4.96,3.04,6.32,5.21,6.5
T2M_MAX,1995,26.49,28.01,29.32,31.39,28.52,26.85,26.19,26.07,25.04,25.74,24.94,25.32,31.39,6.21,5.33,7.68,5.45,4.07,5.69,4.23,7.67,3.33,6.88,5.85,7.16
T2M_MAX,1996,24.78,26.71,30.36,29.45,28.91,26.49,26.22,27.41,27.19,26.03,26.35,24.17,30.36,7.38,3.43,7.11,3.06,3.37,3.05,4.89,8.96,6.51,4.53,6.86,8.09
T2M_MAX,1997,24.92,26.41,28.85,29.36,28.18,27.73,25.12,26.64,26.0,25.7,25.79,24.79,29.36,4.59,8.21,5.83,4.69,7.23,5.78,5.87,7.14,7.29,3.64,4.39,8.17
T2M_MAX,1998,26.32,29.92,31.29,31.78,31.12,26.66,25.86,25.06,26.21,25.25,25.19,24.06,31.78,5.45,7.7,7.7,4.37,4.36,7.42,5.66,4.11,8.35,5.02,5.96,6.77
T2M_MAX,1999,24.21,23.93,25.86,26.91,25.79,25.41,24.82,25.65,24.54,24.49,25.14,23.39,26.91,7.63,4.99,7.85,4.15,5.92,5.0,8.96,5.51,4.81,6.24,3.35,7.38
T2M_MAX,2000,23.99,23.37,26.65,26.48,27.32,25.61,24.54,24.41,25.17,25.3,25.31,24.15,27.32,7.14,6.23,3.75,7.82,3.03,8.24,8.27,7.4,4.21,8.92,3.12,4.89
T2M_MAX,2001,23.89,24.28,29.46,28.02,28.91,25.32,25.52,26.32,25.44,25.54,25.53,24.9,29.46,8.65,5.04,5.05,7.4,7.83,3.16,8.88,6.6,5.93,6.07,3.43,6.55
